reg,jour,res_vac_tot_dose1,res_vac_tot_dose2,res_couv_tot_dose1,res_couv_tot_dose2
01,2021-02-28,320,195,22.5,13.7
02,2021-02-28,346,236,19.9,13.6
03,2021-02-28,144,123,64.9,55.4
04,2021-02-28,1089,818,71.2,53.5
07,2021-02-28,5,3,,
11,2021-02-28,56229,37244,82.9,54.9
24,2021-02-28,24062,17003,80.1,56.6
27,2021-02-28,24734,17760,73.0,52.4
28,2021-02-28,31760,24430,91.3,70.2
32,2021-02-28,37934,26375,77.2,53.7
44,2021-02-28,43511,31114,81.4,58.2
52,2021-02-28,42979,31170,90.5,65.6
53,2021-02-28,39870,28981,95.0,69.1
75,2021-02-28,63875,45642,87.7,62.7
76,2021-02-28,53843,37794,86.9,61.0
84,2021-02-28,59875,37151,75.5,46.8
93,2021-02-28,37088,23080,78.8,49.0
94,2021-02-28,2187,1460,100.0,70.8
