dep,jour,n_tot_dose1,n_tot_dose2,pop,couv_tot_dose1,couv_tot_dose2
00,2021-02-28,2,2,,,
01,2021-02-28,22337,9777,656955,3.4,1.5
02,2021-02-28,22344,11908,526050,4.2,2.3
03,2021-02-28,27097,15211,331315,8.2,4.6
04,2021-02-28,10308,6377,165197,6.2,3.9
05,2021-02-28,6623,4015,141756,4.7,2.8
06,2021-02-28,54724,28215,1079396,5.1,2.6
07,2021-02-28,17315,7012,326875,5.3,2.1
08,2021-02-28,14093,8190,265531,5.3,3.1
09,2021-02-28,8145,5916,152398,5.3,3.9
10,2021-02-28,15277,9070,309907,4.9,2.9
11,2021-02-28,15742,8514,372705,4.2,2.3
12,2021-02-28,19739,12182,278360,7.1,4.4
13,2021-02-28,90197,47703,2034469,4.4,2.3
14,2021-02-28,39209,21879,691453,5.7,3.2
15,2021-02-28,10750,7360,142811,7.5,5.2
16,2021-02-28,22541,12816,348180,6.5,3.7
17,2021-02-28,43317,24621,647080,6.7,3.8
18,2021-02-28,20972,8672,296404,7.1,2.9
19,2021-02-28,15782,7511,240336,6.6,3.1
21,2021-02-28,29463,19074,532886,5.5,3.6
22,2021-02-28,37592,17425,596186,6.3,2.9
23,2021-02-28,8780,6038,116270,7.6,5.2
24,2021-02-28,21323,11001,408393,5.2,2.7
25,2021-02-28,27467,18034,539449,5.1,3.3
26,2021-02-28,24776,13226,520560,4.8,2.5
27,2021-02-28,22886,13479,600687,3.8,2.2
28,2021-02-28,19566,10539,429425,4.6,2.5
29,2021-02-28,49690,23124,906554,5.5,2.6
2A,2021-02-28,10358,5101,162421,6.4,3.1
2B,2021-02-28,11312,4882,182258,6.2,2.7
30,2021-02-28,34740,18599,748468,4.6,2.5
31,2021-02-28,54745,31677,1400935,3.9,2.3
32,2021-02-28,13803,6769,190040,7.3,3.6
33,2021-02-28,70258,40074,1633440,4.3,2.5
34,2021-02-28,53828,29754,1176145,4.6,2.5
35,2021-02-28,49956,24748,1082073,4.6,2.3
36,2021-02-28,15715,10132,217139,7.2,4.7
37,2021-02-28,27778,14466,605380,4.6,2.4
38,2021-02-28,51253,21381,1264979,4.1,1.7
39,2021-02-28,19462,12852,257849,7.5,5
40,2021-02-28,22998,11535,411979,5.6,2.8
41,2021-02-28,17689,8039,327835,5.4,2.5
42,2021-02-28,36478,19290,764737,4.8,2.5
43,2021-02-28,15045,8085,226901,6.6,3.6
44,2021-02-28,59489,32035,1437137,4.1,2.2
45,2021-02-28,30653,14487,682890,4.5,2.1
46,2021-02-28,10591,5506,173166,6.1,3.2
47,2021-02-28,14720,8485,330336,4.5,2.6
48,2021-02-28,5160,3375,76286,6.8,4.4
49,2021-02-28,38146,18677,815881,4.7,2.3
50,2021-02-28,28798,16094,490669,5.9,3.3
51,2021-02-28,23636,13893,563823,4.2,2.5
52,2021-02-28,7665,5828,169250,4.5,3.4
53,2021-02-28,15993,9101,305365,5.2,3
54,2021-02-28,32934,22124,730398,4.5,3
55,2021-02-28,8002,5794,181641,4.4,3.2
56,2021-02-28,41991,19889,755566,5.6,2.6
57,2021-02-28,61630,22407,1035866,5.9,2.2
58,2021-02-28,14657,9134,199596,7.3,4.6
59,2021-02-28,100665,54168,2588988,3.9,2.1
60,2021-02-28,25716,13179,825077,3.1,1.6
61,2021-02-28,19633,13420,276903,7.1,4.8
62,2021-02-28,49114,25060,1452778,3.4,1.7
63,2021-02-28,29466,15566,660240,4.5,2.4
64,2021-02-28,38514,21524,683169,5.6,3.2
65,2021-02-28,14444,8538,226839,6.4,3.8
66,2021-02-28,29460,16186,479000,6.2,3.4
67,2021-02-28,54717,26039,1132607,4.8,2.3
68,2021-02-28,38747,16420,763204,5.1,2.2
69,2021-02-28,68905,38660,1876051,3.7,2.1
70,2021-02-28,10192,5181,233194,4.4,2.2
71,2021-02-28,30077,17416,547824,5.5,3.2
72,2021-02-28,23584,11690,560227,4.2,2.1
73,2021-02-28,22798,10114,432548,5.3,2.3
74,2021-02-28,25754,12951,828405,3.1,1.6
75,2021-02-28,104800,59108,2148271,4.9,2.8
76,2021-02-28,60575,36021,1243788,4.9,2.9
77,2021-02-28,37273,21583,1423607,2.6,1.5
78,2021-02-28,44525,23039,1448625,3.1,1.6
79,2021-02-28,19521,11305,372627,5.2,3
80,2021-02-28,25007,13942,569769,4.4,2.4
81,2021-02-28,20786,10801,387898,5.4,2.8
82,2021-02-28,14933,7982,262618,5.7,3
83,2021-02-28,49748,26442,1073836,4.6,2.5
84,2021-02-28,24807,13285,560997,4.4,2.4
85,2021-02-28,35574,18651,683187,5.2,2.7
86,2021-02-28,25591,14058,437398,5.9,3.2
87,2021-02-28,19848,11345,370774,5.4,3.1
88,2021-02-28,20156,9157,359520,5.6,2.5
89,2021-02-28,15662,9258,332096,4.7,2.8
90,2021-02-28,9457,5500,140145,6.7,3.9
91,2021-02-28,39842,22063,1319401,3,1.7
92,2021-02-28,49458,28249,1613762,3.1,1.8
93,2021-02-28,40309,20420,1670149,2.4,1.2
94,2021-02-28,45846,25373,1406041,3.3,1.8
95,2021-02-28,37274,20494,1248354,3,1.6
970,2021-02-28,1,0,,,
971,2021-02-28,3250,891,376879,0.9,0.2
972,2021-02-28,4516,2299,358749,1.3,0.6
973,2021-02-28,3360,1153,290691,1.2,0.4
974,2021-02-28,17222,4296,859959,2,0.5
976,2021-02-28,5122,886,279471,1.8,0.3
977,2021-02-28,230,25,9961,2.3,0.3
