reg,jour,n_tot_dose1,n_tot_dose2,pop,couv_tot_dose1,couv_tot_dose2
1,2021-02-28,3250,891,376879,0.9,0.2
2,2021-02-28,4516,2299,358749,1.3,0.6
3,2021-02-28,3360,1153,290691,1.2,0.4
4,2021-02-28,17222,4296,859959,2,0.5
6,2021-02-28,5122,886,279471,1.8,0.3
7,2021-02-28,230,25,9961,2.3,0.3
11,2021-02-28,399327,220329,12278210,3.3,1.8
24,2021-02-28,132373,66335,2559073,5.2,2.6
27,2021-02-28,156437,96449,2783039,5.6,3.5
28,2021-02-28,171101,100893,3303500,5.2,3.1
32,2021-02-28,222846,118257,5962662,3.7,2
44,2021-02-28,276857,138922,5511747,5,2.5
52,2021-02-28,172786,90154,3801797,4.5,2.4
53,2021-02-28,179229,85186,3340379,5.4,2.6
75,2021-02-28,323193,180313,5999982,5.4,3
76,2021-02-28,296116,165799,5924858,5,2.8
84,2021-02-28,351974,178633,8032377,4.4,2.2
93,2021-02-28,236407,126037,5055651,4.7,2.5
94,2021-02-28,21670,9983,344679,6.3,2.9
