dep,vaccin,jour,n_tot_dose1,n_tot_dose2
00,1,2021-02-28,2,2
01,1,2021-02-28,19893,9773
01,2,2021-02-28,622,4
01,3,2021-02-28,1822,0
02,1,2021-02-28,17433,11907
02,2,2021-02-28,2887,1
02,3,2021-02-28,2024,0
03,1,2021-02-28,18960,10203
03,2,2021-02-28,5616,5008
03,3,2021-02-28,2521,0
04,1,2021-02-28,9905,6377
04,2,2021-02-28,1,0
04,3,2021-02-28,402,0
05,1,2021-02-28,6361,4015
05,3,2021-02-28,262,0
06,1,2021-02-28,45296,24071
06,2,2021-02-28,6786,4144
06,3,2021-02-28,2642,0
07,1,2021-02-28,13893,7009
07,2,2021-02-28,2705,3
07,3,2021-02-28,717,0
08,1,2021-02-28,11847,8190
08,2,2021-02-28,2,0
08,3,2021-02-28,2242,0
09,1,2021-02-28,7022,5912
09,2,2021-02-28,660,4
09,3,2021-02-28,463,0
10,1,2021-02-28,13636,9068
10,2,2021-02-28,2,2
10,3,2021-02-28,1639,0
11,1,2021-02-28,14549,8513
11,2,2021-02-28,37,1
11,3,2021-02-28,1156,0
12,1,2021-02-28,16381,12181
12,2,2021-02-28,2391,1
12,3,2021-02-28,967,0
13,1,2021-02-28,80788,47699
13,2,2021-02-28,6280,4
13,3,2021-02-28,3129,0
14,1,2021-02-28,30545,21874
14,2,2021-02-28,2070,4
14,3,2021-02-28,6594,0
15,1,2021-02-28,9730,7360
15,2,2021-02-28,305,0
15,3,2021-02-28,715,0
16,1,2021-02-28,20953,12813
16,2,2021-02-28,4,3
16,3,2021-02-28,1584,0
17,1,2021-02-28,40351,24620
17,2,2021-02-28,3,1
17,3,2021-02-28,2963,0
18,1,2021-02-28,18751,8667
18,2,2021-02-28,1473,5
18,3,2021-02-28,748,0
19,1,2021-02-28,14712,7494
19,2,2021-02-28,43,17
19,3,2021-02-28,1027,0
21,1,2021-02-28,17375,14914
21,2,2021-02-28,8455,4160
21,3,2021-02-28,3633,0
22,1,2021-02-28,34405,17425
22,2,2021-02-28,521,0
22,3,2021-02-28,2666,0
23,1,2021-02-28,8470,6038
23,3,2021-02-28,310,0
24,1,2021-02-28,19098,11001
24,2,2021-02-28,738,0
24,3,2021-02-28,1487,0
25,1,2021-02-28,15765,13444
25,2,2021-02-28,9684,4589
25,3,2021-02-28,2018,0
26,1,2021-02-28,20239,13183
26,2,2021-02-28,2505,43
26,3,2021-02-28,2032,0
27,1,2021-02-28,20618,13478
27,2,2021-02-28,2,1
27,3,2021-02-28,2266,0
28,1,2021-02-28,16845,10537
28,2,2021-02-28,996,2
28,3,2021-02-28,1725,0
29,1,2021-02-28,42769,23123
29,2,2021-02-28,984,1
29,3,2021-02-28,5937,0
2A,1,2021-02-28,8838,5100
