dep;jour;res_vac_dose1;res_vac_dose2;res_couv_dose1;res_couv_dose2;res_vac_cum_dose1;res_vac_cum_dose2
00;2021-02-06;1;0;;;1;0
01;2021-01-07;38;0;0.6;0.0;38;0
01;2021-01-08;114;0;1.9;0.0;152;0
01;2021-01-09;2;0;0.0;0.0;154;0
01;2021-01-11;43;0;0.7;0.0;197;0
01;2021-01-12;34;0;0.6;0.0;231;0
01;2021-01-13;71;0;1.2;0.0;302;0
01;2021-01-14;88;0;1.4;0.0;390;0
01;2021-01-15;24;0;0.4;0.0;414;0
01;2021-01-16;9;0;0.1;0.0;423;0
01;2021-01-18;21;0;0.3;0.0;444;0
01;2021-01-19;392;0;6.4;0.0;836;0
01;2021-01-20;495;0;8.0;0.0;1331;0
01;2021-01-21;461;0;7.5;0.0;1792;0
01;2021-01-22;120;0;1.9;0.0;1912;0
01;2021-01-23;13;0;0.2;0.0;1925;0
01;2021-01-24;1;0;0.0;0.0;1926;0
01;2021-01-25;20;0;0.3;0.0;1946;0
01;2021-01-26;188;0;3.1;0.0;2134;0
01;2021-01-27;98;0;1.6;0.0;2232;0
01;2021-01-28;170;68;2.8;1.1;2402;68
01;2021-01-29;77;25;1.2;0.4;2479;93
01;2021-01-30;2;0;0.0;0.0;2481;93
01;2021-02-01;38;5;0.6;0.1;2519;98
01;2021-02-02;67;35;1.1;0.6;2586;133
01;2021-02-03;65;65;1.1;1.1;2651;198
01;2021-02-04;84;109;1.4;1.8;2735;307
01;2021-02-05;8;0;0.1;0.0;2743;307
01;2021-02-06;2;0;0.0;0.0;2745;307
01;2021-02-08;57;31;0.9;0.5;2802;338
01;2021-02-09;205;323;3.3;5.2;3007;661
01;2021-02-10;421;315;6.8;5.1;3428;976
01;2021-02-11;251;367;4.1;6.0;3679;1343
01;2021-02-12;47;66;0.8;1.1;3726;1409
01;2021-02-13;1;3;0.0;0.0;3727;1412
01;2021-02-14;0;1;0.0;0.0;3727;1413
01;2021-02-15;37;82;0.6;1.3;3764;1495
01;2021-02-16;51;177;0.8;2.9;3815;1672
01;2021-02-17;49;89;0.8;1.4;3864;1761
01;2021-02-18;74;199;1.2;3.2;3938;1960
01;2021-02-19;24;65;0.4;1.1;3962;2025
01;2021-02-20;4;2;0.1;0.0;3966;2027
01;2021-02-22;40;27;0.6;0.4;4006;2054
01;2021-02-23;48;13;0.8;0.2;4054;2067
01;2021-02-24;27;14;0.4;0.2;4081;2081
01;2021-02-25;13;36;0.2;0.6;4094;2117
01;2021-02-26;4;37;0.1;0.6;4098;2154
01;2021-02-27;6;0;0.1;0.0;4104;2154
01;2021-03-01;26;25;0.4;0.4;4130;2179
01;2021-03-02;43;49;0.7;0.8;4173;2228
01;2021-03-03;31;261;0.5;4.2;4204;2489
01;2021-03-04;56;159;0.9;2.6;4260;2648
01;2021-03-05;7;6;0.1;0.1;4267;2654
01;2021-03-06;4;0;0.1;0.0;4271;2654
01;2021-03-07;2;1;0.0;0.0;4273;2655
02;2021-01-06;1;0;0.0;0.0;1;0
02;2021-01-07;76;0;1.3;0.0;77;0
02;2021-01-08;187;0;3.2;0.0;264;0
02;2021-01-09;2;0;0.0;0.0;266;0
02;2021-01-10;7;0;0.1;0.0;273;0
02;2021-01-11;28;0;0.5;0.0;301;0
02;2021-01-12;76;0;1.3;0.0;377;0
02;2021-01-13;45;0;0.8;0.0;422;0
02;2021-01-14;79;0;1.4;0.0;501;0
02;2021-01-15;34;0;0.6;0.0;535;0
02;2021-01-16;1;1;0.0;0.0;536;1
02;2021-01-18;90;0;1.6;0.0;626;1
02;2021-01-19;150;0;2.6;0.0;776;1
02;2021-01-20;455;0;7.8;0.0;1231;1
02;2021-01-21;1343;0;23.2;0.0;2574;1
02;2021-01-22;492;0;8.5;0.0;3066;1
02;2021-01-23;62;0;1.1;0.0;3128;1
02;2021-01-24;30;0;0.5;0.0;3158;1
02;2021-01-25;13;0;0.2;0.0;3171;1
02;2021-01-26;11;0;0.2;0.0;3182;1
02;2021-01-27;10;0;0.2;0.0;3192;1
02;2021-01-28;8;88;0.1;1.5;3200;89
02;2021-01-29;40;157;0.7;2.7;3240;246
02;2021-01-31;0;4;0.0;0.1;3240;250
02;2021-02-01;6;24;0.1;0.4;3246;274
02;2021-02-02;12;79;0.2;1.4;3258;353
02;2021-02-03;4;27;0.1;0.5;3262;380
02;2021-02-04;8;25;0.1;0.4;3270;405
02;2021-02-05;1;49;0.0;0.8;3271;454
02;2021-02-06;0;2;0.0;0.0;3271;456
02;2021-02-08;20;29;0.3;0.5;3291;485
02;2021-02-09;18;123;0.3;2.1;3309;608
02;2021-02-10;90;468;1.6;8.1;3399;1076
02;2021-02-11;318;1121;5.5;19.3;3717;2197
02;2021-02-12;208;498;3.6;8.6;3925;2695
02;2021-02-13;41;23;0.7;0.4;3966;2718
02;2021-02-15;4;39;0.1;0.7;3970;2757
02;2021-02-16;2;11;0.0;0.2;3972;2768
02;2021-02-17;11;13;0.2;0.2;3983;2781
02;2021-02-18;2;3;0.0;0.1;3985;2784
02;2021-02-19;28;43;0.5;0.7;4013;2827
02;2021-02-20;3;8;0.1;0.1;4016;2835
02;2021-02-21;0;1;0.0;0.0;4016;2836
02;2021-02-22;33;4;0.6;0.1;4049;2840
02;2021-02-23;43;13;0.7;0.2;4092;2853
02;2021-02-24;15;0;0.3;0.0;4107;2853
02;2021-02-25;9;2;0.2;0.0;4116;2855
02;2021-02-26;6;6;0.1;0.1;4122;2861
02;2021-02-27;6;0;0.1;0.0;4128;2861
02;2021-03-01;13;0;0.2;0.0;4141;2861
02;2021-03-02;53;12;0.9;0.2;4194;2873
02;2021-03-03;5;22;0.1;0.4;4199;2895
02;2021-03-04;27;277;0.5;4.8;4226;3172
02;2021-03-05;28;193;0.5;3.3;4254;3365
02;2021-03-06;11;3;0.2;0.1;4265;3368
02;2021-03-07;7;2;0.1;0.0;4272;3370
03;2021-01-06;5;0;0.1;0.0;5;0
03;2021-01-07;6;0;0.1;0.0;11;0
03;2021-01-08;66;0;1.3;0.0;77;0
03;2021-01-09;113;0;2.2;0.0;190;0
03;2021-01-11;12;0;0.2;0.0;202;0
03;2021-01-12;66;0;1.3;0.0;268;0
03;2021-01-13;35;0;0.7;0.0;303;0
03;2021-01-14;21;0;0.4;0.0;324;0
03;2021-01-15;61;0;1.2;0.0;385;0
03;2021-01-16;60;0;1.2;0.0;445;0
03;2021-01-17;20;0;0.4;0.0;465;0
03;2021-01-18;49;0;0.9;0.0;514;0
03;2021-01-19;156;0;3.0;0.0;670;0
03;2021-01-20;217;0;4.2;0.0;887;0
03;2021-01-21;103;0;2.0;0.0;990;0
03;2021-01-22;170;0;3.3;0.0;1160;0
03;2021-01-23;8;0;0.2;0.0;1168;0
03;2021-01-25;19;0;0.4;0.0;1187;0
03;2021-01-26;94;9;1.8;0.2;1281;9
03;2021-01-27;52;2;1.0;0.0;1333;11
03;2021-01-28;47;6;0.9;0.1;1380;17
03;2021-01-29;68;59;1.3;1.1;1448;76
03;2021-01-30;17;121;0.3;2.3;1465;197
03;2021-02-01;6;10;0.1;0.2;1471;207
03;2021-02-02;234;38;4.5;0.7;1705;245
03;2021-02-03;484;32;9.3;0.6;2189;277
03;2021-02-04;552;20;10.6;0.4;2741;297
03;2021-02-05;245;50;4.7;1.0;2986;347
03;2021-02-06;7;58;0.1;1.1;2993;405
03;2021-02-07;1;21;0.0;0.4;2994;426
03;2021-02-08;11;25;0.2;0.5;3005;451
03;2021-02-09;19;197;0.4;3.8;3024;648
03;2021-02-10;16;179;0.3;3.5;3040;827
03;2021-02-11;30;90;0.6;1.7;3070;917
03;2021-02-12;41;170;0.8;3.3;3111;1087
03;2021-02-15;19;3;0.4;0.1;3130;1090
03;2021-02-16;7;7;0.1;0.1;3137;1097
03;2021-02-17;6;117;0.1;2.3;3143;1214
03;2021-02-18;12;43;0.2;0.8;3155;1257
03;2021-02-19;15;29;0.3;0.6;3170;1286
03;2021-02-20;1;3;0.0;0.1;3171;1289
03;2021-02-21;1;0;0.0;0.0;3172;1289
03;2021-02-22;23;1;0.4;0.0;3195;1290
03;2021-02-23;10;210;0.2;4.0;3205;1500
03;2021-02-24;52;305;1.0;5.9;3257;1805
03;2021-02-25;79;447;1.5;8.6;3336;2252
03;2021-02-26;77;186;1.5;3.6;3413;2438
03;2021-02-27;0;1;0.0;0.0;3413;2439
03;2021-03-01;6;5;0.1;0.1;3419;2444
03;2021-03-02;17;8;0.3;0.2;3436;2452
03;2021-03-03;3;3;0.1;0.1;3439;2455
03;2021-03-04;1;0;0.0;0.0;3440;2455
03;2021-03-05;6;11;0.1;0.2;3446;2466
03;2021-03-06;14;0;0.3;0.0;3460;2466
04;2021-01-05;2;0;0.1;0.0;2;0
04;2021-01-07;31;0;1.5;0.0;33;0
04;2021-01-08;46;0;2.2;0.0;79;0
04;2021-01-09;37;0;1.8;0.0;116;0
04;2021-01-11;31;0;1.5;0.0;147;0
04;2021-01-12;251;0;12.0;0.0;398;0
04;2021-01-13;117;0;5.6;0.0;515;0
04;2021-01-14;21;0;1.0;0.0;536;0
04;2021-01-15;32;0;1.5;0.0;568;0
