fra;jour;res_vac_dose1;res_vac_dose2;res_couv_dose1;res_couv_dose2;res_vac_cum_dose1;res_vac_cum_dose2
FR;2020-12-27;11;0;0.0;0.0;11;0
FR;2020-12-28;46;0;0.0;0.0;57;0
FR;2020-12-29;95;0;0.0;0.0;152;0
FR;2020-12-30;95;0;0.0;0.0;247;0
FR;2020-12-31;64;0;0.0;0.0;311;0
FR;2021-01-01;2;0;0.0;0.0;313;0
FR;2021-01-02;14;0;0.0;0.0;327;0
FR;2021-01-03;1;0;0.0;0.0;328;0
FR;2021-01-04;335;0;0.1;0.0;663;0
FR;2021-01-05;1230;0;0.2;0.0;1893;0
FR;2021-01-06;2097;0;0.3;0.0;3990;0
FR;2021-01-07;7762;0;1.2;0.0;11752;0
FR;2021-01-08;6998;0;1.1;0.0;18750;0
FR;2021-01-09;969;0;0.2;0.0;19719;0
FR;2021-01-10;194;0;0.0;0.0;19913;0
FR;2021-01-11;4851;0;0.8;0.0;24764;0
FR;2021-01-12;14789;0;2.4;0.0;39553;0
FR;2021-01-13;13809;0;2.2;0.0;53362;0
FR;2021-01-14;18639;0;3.0;0.0;72001;0
FR;2021-01-15;10010;10;1.6;0.0;82011;10
FR;2021-01-16;1295;121;0.2;0.0;83306;131
FR;2021-01-17;3227;3;0.5;0.0;86533;134
FR;2021-01-18;12204;15;1.9;0.0;98737;149
FR;2021-01-19;35048;85;5.6;0.0;133785;234
FR;2021-01-20;37305;44;6.0;0.0;171090;278
FR;2021-01-21;47825;48;7.6;0.0;218915;326
FR;2021-01-22;20815;49;3.3;0.0;239730;375
FR;2021-01-23;3220;0;0.5;0.0;242950;375
FR;2021-01-24;2655;1;0.4;0.0;245605;376
FR;2021-01-25;8391;224;1.3;0.0;253996;600
FR;2021-01-26;19026;1078;3.0;0.2;273022;1678
FR;2021-01-27;26554;1694;4.2;0.3;299576;3372
FR;2021-01-28;37574;6285;6.0;1.0;337150;9657
FR;2021-01-29;16200;4766;2.6;0.8;353350;14423
FR;2021-01-30;2269;743;0.4;0.1;355619;15166
FR;2021-01-31;990;262;0.2;0.0;356609;15428
FR;2021-02-01;4826;3610;0.8;0.6;361435;19038
FR;2021-02-02;12349;11486;2.0;1.8;373784;30524
FR;2021-02-03;14876;10928;2.4;1.7;388660;41452
FR;2021-02-04;18682;17034;3.0;2.7;407342;58486
FR;2021-02-05;8900;9921;1.4;1.6;416242;68407
FR;2021-02-06;1398;1223;0.2;0.2;417640;69630
FR;2021-02-07;599;2268;0.1;0.4;418239;71898
FR;2021-02-08;3123;8694;0.5;1.4;421362;80592
FR;2021-02-09;8166;28816;1.3;4.6;429528;109408
FR;2021-02-10;9035;31690;1.4;5.1;438563;141098
FR;2021-02-11;13399;43599;2.1;7.0;451962;184697
FR;2021-02-12;8434;18459;1.3;2.9;460396;203156
FR;2021-02-13;1390;2213;0.2;0.4;461786;205369
FR;2021-02-14;364;2174;0.1;0.3;462150;207543
FR;2021-02-15;2054;6829;0.3;1.1;464204;214372
FR;2021-02-16;3865;16111;0.6;2.6;468069;230483
FR;2021-02-17;5862;23532;0.9;3.8;473931;254015
FR;2021-02-18;9576;34672;1.5;5.5;483507;288687
FR;2021-02-19;7177;15240;1.1;2.4;490684;303927
FR;2021-02-20;706;1623;0.1;0.3;491390;305550
FR;2021-02-21;212;918;0.0;0.1;491602;306468
FR;2021-02-22;1737;4431;0.3;0.7;493339;310899
FR;2021-02-23;3580;10797;0.6;1.7;496919;321696
FR;2021-02-24;4202;13120;0.7;2.1;501121;334816
FR;2021-02-25;5935;16266;0.9;2.6;507056;351082
FR;2021-02-26;3991;6793;0.6;1.1;511047;357875
FR;2021-02-27;767;1088;0.1;0.2;511814;358963
FR;2021-02-28;121;304;0.0;0.0;511935;359267
FR;2021-03-01;1117;2648;0.2;0.4;513052;361915
FR;2021-03-02;2674;5930;0.4;0.9;515726;367845
FR;2021-03-03;2793;6698;0.4;1.1;518519;374543
FR;2021-03-04;4005;10499;0.6;1.7;522524;385042
FR;2021-03-05;3465;6104;0.6;1.0;525989;391146
FR;2021-03-06;2661;548;0.4;0.1;528650;391694
FR;2021-03-07;1541;164;0.2;0.0;530191;391858
