reg;jour;res_vac_dose1;res_vac_dose2;res_couv_dose1;res_couv_dose2;res_vac_cum_dose1;res_vac_cum_dose2
01;2021-01-13;6;0;0.4;0.0;6;0
01;2021-01-18;8;0;0.6;0.0;14;0
01;2021-01-19;50;0;3.5;0.0;64;0
01;2021-01-20;14;0;1.0;0.0;78;0
01;2021-01-21;20;0;1.4;0.0;98;0
01;2021-01-22;11;0;0.8;0.0;109;0
01;2021-01-25;36;0;2.5;0.0;145;0
01;2021-01-26;28;0;2.0;0.0;173;0
01;2021-01-27;45;0;3.2;0.0;218;0
01;2021-01-28;6;0;0.4;0.0;224;0
01;2021-02-01;7;0;0.5;0.0;231;0
01;2021-02-02;8;0;0.6;0.0;239;0
01;2021-02-03;10;0;0.7;0.0;249;0
01;2021-02-04;16;6;1.1;0.4;265;6
01;2021-02-05;0;1;0.0;0.1;265;7
01;2021-02-08;15;1;1.1;0.1;280;8
01;2021-02-09;2;0;0.1;0.0;282;8
01;2021-02-10;1;0;0.1;0.0;283;8
01;2021-02-11;15;30;1.1;2.1;298;38
01;2021-02-12;3;13;0.2;0.9;301;51
01;2021-02-13;0;9;0.0;0.6;301;60
01;2021-02-14;2;32;0.1;2.3;303;92
01;2021-02-15;2;27;0.1;1.9;305;119
01;2021-02-19;2;13;0.1;0.9;307;132
01;2021-02-22;0;2;0.0;0.1;307;134
01;2021-02-23;2;8;0.1;0.6;309;142
01;2021-02-24;2;44;0.1;3.1;311;186
01;2021-02-25;0;1;0.0;0.1;311;187
01;2021-02-26;0;4;0.0;0.3;311;191
01;2021-03-01;4;7;0.3;0.5;315;198
01;2021-03-02;2;1;0.1;0.1;317;199
01;2021-03-05;0;5;0.0;0.4;317;204
02;2021-01-08;24;0;1.4;0.0;24;0
02;2021-01-09;17;0;1.0;0.0;41;0
02;2021-01-11;42;0;2.4;0.0;83;0
02;2021-01-12;14;0;0.8;0.0;97;0
02;2021-01-13;2;0;0.1;0.0;99;0
02;2021-01-14;3;0;0.2;0.0;102;0
02;2021-01-15;6;0;0.3;0.0;108;0
02;2021-01-16;0;1;0.0;0.1;108;1
02;2021-01-18;13;0;0.7;0.0;121;1
02;2021-01-19;5;0;0.3;0.0;126;1
02;2021-01-20;15;0;0.9;0.0;141;1
02;2021-01-21;40;0;2.3;0.0;181;1
02;2021-01-22;6;0;0.3;0.0;187;1
02;2021-01-23;13;0;0.7;0.0;200;1
02;2021-01-25;4;0;0.2;0.0;204;1
02;2021-01-26;1;0;0.1;0.0;205;1
02;2021-01-27;12;0;0.7;0.0;217;1
02;2021-01-28;6;0;0.3;0.0;223;1
02;2021-01-29;6;12;0.3;0.7;229;13
02;2021-01-30;7;16;0.4;0.9;236;29
02;2021-02-01;17;40;1.0;2.3;253;69
02;2021-02-02;7;18;0.4;1.0;260;87
02;2021-02-03;7;6;0.4;0.3;267;93
02;2021-02-04;4;7;0.2;0.4;271;100
02;2021-02-05;2;0;0.1;0.0;273;100
02;2021-02-06;13;8;0.7;0.5;286;108
02;2021-02-08;3;8;0.2;0.5;289;116
02;2021-02-09;1;0;0.1;0.0;290;116
02;2021-02-10;1;4;0.1;0.2;291;120
02;2021-02-11;12;13;0.7;0.7;303;133
02;2021-02-12;15;31;0.9;1.8;318;164
02;2021-02-13;1;1;0.1;0.1;319;165
02;2021-02-15;0;27;0.0;1.6;319;192
02;2021-02-18;0;5;0.0;0.3;319;197
02;2021-02-19;1;7;0.1;0.4;320;204
02;2021-02-20;1;0;0.1;0.0;321;204
02;2021-02-22;12;1;0.7;0.1;333;205
02;2021-02-23;1;10;0.1;0.6;334;215
02;2021-02-24;5;7;0.3;0.4;339;222
02;2021-02-25;0;6;0.0;0.3;339;228
02;2021-02-26;1;4;0.1;0.2;340;232
02;2021-02-27;0;3;0.0;0.2;340;235
02;2021-03-01;0;4;0.0;0.2;340;239
02;2021-03-02;1;0;0.1;0.0;341;239
02;2021-03-04;2;0;0.1;0.0;343;239
03;2021-01-13;17;0;7.7;0.0;17;0
03;2021-01-14;6;0;2.7;0.0;23;0
03;2021-01-15;10;0;4.5;0.0;33;0
03;2021-01-18;13;0;5.9;0.0;46;0
03;2021-01-19;24;0;10.8;0.0;70;0
03;2021-01-20;14;0;6.3;0.0;84;0
03;2021-01-21;21;0;9.5;0.0;105;0
03;2021-01-22;10;0;4.5;0.0;115;0
03;2021-01-25;6;0;2.7;0.0;121;0
03;2021-01-26;1;0;0.5;0.0;122;0
03;2021-01-28;1;0;0.5;0.0;123;0
03;2021-01-29;1;0;0.5;0.0;124;0
03;2021-02-02;2;0;0.9;0.0;126;0
03;2021-02-03;3;8;1.4;3.6;129;8
03;2021-02-04;0;9;0.0;4.1;129;17
03;2021-02-05;1;0;0.5;0.0;130;17
03;2021-02-08;3;7;1.4;3.2;133;24
03;2021-02-09;1;17;0.5;7.7;134;41
03;2021-02-10;4;0;1.8;0.0;138;41
03;2021-02-11;0;24;0.0;10.8;138;65
03;2021-02-12;0;23;0.0;10.4;138;88
03;2021-02-16;0;1;0.0;0.5;138;89
03;2021-02-17;1;18;0.5;8.1;139;107
03;2021-02-18;0;16;0.0;7.2;139;123
03;2021-02-22;0;3;0.0;1.4;139;126
03;2021-02-23;1;0;0.5;0.0;140;126
03;2021-02-24;0;1;0.0;0.5;140;127
03;2021-02-25;3;3;1.4;1.4;143;130
03;2021-02-27;2;0;0.9;0.0;145;130
03;2021-03-01;0;1;0.0;0.5;145;131
03;2021-03-02;1;0;0.5;0.0;146;131
04;2021-01-05;1;0;0.1;0.0;1;0
04;2021-01-15;243;0;15.9;0.0;244;0
04;2021-01-16;18;0;1.2;0.0;262;0
04;2021-01-18;14;0;0.9;0.0;276;0
04;2021-01-19;167;0;10.9;0.0;443;0
04;2021-01-20;76;0;5.0;0.0;519;0
04;2021-01-21;25;0;1.6;0.0;544;0
04;2021-01-22;17;0;1.1;0.0;561;0
04;2021-01-25;16;0;1.0;0.0;577;0
04;2021-01-26;146;0;9.5;0.0;723;0
04;2021-01-27;45;0;2.9;0.0;768;0
04;2021-01-28;58;0;3.8;0.0;826;0
04;2021-01-29;11;1;0.7;0.1;837;1
04;2021-01-30;5;0;0.3;0.0;842;1
04;2021-02-01;8;0;0.5;0.0;850;1
04;2021-02-02;4;0;0.3;0.0;854;1
04;2021-02-03;5;0;0.3;0.0;859;1
04;2021-02-04;15;0;1.0;0.0;874;1
04;2021-02-05;19;182;1.2;11.9;893;183
04;2021-02-06;1;0;0.1;0.0;894;183
04;2021-02-08;7;19;0.5;1.2;901;202
04;2021-02-09;11;101;0.7;6.6;912;303
04;2021-02-10;9;62;0.6;4.1;921;365
04;2021-02-11;6;51;0.4;3.3;927;416
04;2021-02-12;19;46;1.2;3.0;946;462
04;2021-02-13;19;1;1.2;0.1;965;463
04;2021-02-15;15;36;1.0;2.4;980;499
04;2021-02-16;36;149;2.4;9.7;1016;648
04;2021-02-17;3;66;0.2;4.3;1019;714
04;2021-02-18;4;58;0.3;3.8;1023;772
04;2021-02-19;5;7;0.3;0.5;1028;779
04;2021-02-20;1;0;0.1;0.0;1029;779
04;2021-02-22;2;3;0.1;0.2;1031;782
04;2021-02-23;0;1;0.0;0.1;1031;783
04;2021-02-24;3;1;0.2;0.1;1034;784
04;2021-02-25;6;1;0.4;0.1;1040;785
04;2021-02-26;2;0;0.1;0.0;1042;785
04;2021-02-27;2;4;0.1;0.3;1044;789
04;2021-03-01;0;1;0.0;0.1;1044;790
04;2021-03-02;2;15;0.1;1.0;1046;805
04;2021-03-03;12;8;0.8;0.5;1058;813
04;2021-03-04;6;13;0.4;0.8;1064;826
04;2021-03-05;5;4;0.3;0.3;1069;830
04;2021-03-06;0;1;0.0;0.1;1069;831
07;2021-01-21;1;0;;;1;0
07;2021-02-05;1;0;;;2;0
07;2021-02-10;1;0;;;3;0
07;2021-02-12;1;0;;;4;0
07;2021-02-25;0;1;;;4;1
07;2021-02-26;0;1;;;4;2
07;2021-03-02;0;1;;;4;3
07;2021-03-04;0;2;;;4;5
11;2020-12-27;8;0;0.0;0.0;8;0
11;2020-12-29;49;0;0.1;0.0;57;0
11;2020-12-30;66;0;0.1;0.0;123;0
11;2020-12-31;35;0;0.1;0.0;158;0
11;2021-01-02;12;0;0.0;0.0;170;0
11;2021-01-03;1;0;0.0;0.0;171;0
11;2021-01-04;60;0;0.1;0.0;231;0
11;2021-01-05;354;0;0.5;0.0;585;0
11;2021-01-06;113;0;0.2;0.0;698;0
11;2021-01-07;673;0;1.0;0.0;1371;0
11;2021-01-08;510;0;0.8;0.0;1881;0
11;2021-01-09;46;0;0.1;0.0;1927;0
11;2021-01-10;4;0;0.0;0.0;1931;0
11;2021-01-11;336;0;0.5;0.0;2267;0
11;2021-01-12;604;0;0.9;0.0;2871;0
11;2021-01-13;565;0;0.8;0.0;3436;0
11;2021-01-14;440;0;0.6;0.0;3876;0
11;2021-01-15;314;0;0.5;0.0;4190;0
11;2021-01-16;25;3;0.0;0.0;4215;3
11;2021-01-17;10;0;0.0;0.0;4225;3
11;2021-01-18;640;0;0.9;0.0;4865;3
11;2021-01-19;3043;18;4.5;0.0;7908;21
11;2021-01-20;4746;10;7.0;0.0;12654;31
11;2021-01-21;6651;27;9.8;0.0;19305;58
11;2021-01-22;2758;46;4.1;0.1;22063;104
11;2021-01-23;411;0;0.6;0.0;22474;104
11;2021-01-24;107;0;0.2;0.0;22581;104
11;2021-01-25;337;88;0.5;0.1;22918;192
11;2021-01-26;2509;257;3.7;0.4;25427;449
11;2021-01-27;5301;197;7.8;0.3;30728;646
11;2021-01-28;7363;503;10.9;0.7;38091;1149
11;2021-01-29;3028;342;4.5;0.5;41119;1491
11;2021-01-30;569;27;0.8;0.0;41688;1518
11;2021-01-31;78;10;0.1;0.0;41766;1528
11;2021-02-01;281;210;0.4;0.3;42047;1738
11;2021-02-02;488;441;0.7;0.6;42535;2179
11;2021-02-03;336;437;0.5;0.6;42871;2616
11;2021-02-04;530;442;0.8;0.7;43401;3058
11;2021-02-05;380;154;0.6;0.2;43781;3212
11;2021-02-06;131;3;0.2;0.0;43912;3215
11;2021-02-07;37;0;0.1;0.0;43949;3215
11;2021-02-08;203;256;0.3;0.4;44152;3471
11;2021-02-09;904;2619;1.3;3.9;45056;6090
11;2021-02-10;1103;4308;1.6;6.3;46159;10398
11;2021-02-11;1932;5708;2.8;8.4;48091;16106
11;2021-02-12;1183;2055;1.7;3.0;49274;18161
11;2021-02-13;220;199;0.3;0.3;49494;18360
11;2021-02-14;40;11;0.1;0.0;49534;18371
11;2021-02-15;113;294;0.2;0.4;49647;18665
11;2021-02-16;299;1925;0.4;2.8;49946;20590
11;2021-02-17;1028;4594;1.5;6.8;50974;25184
11;2021-02-18;1891;6909;2.8;10.2;52865;32093
11;2021-02-19;1487;2658;2.2;3.9;54352;34751
11;2021-02-20;174;338;0.3;0.5;54526;35089
11;2021-02-21;42;123;0.1;0.2;54568;35212
11;2021-02-22;59;197;0.1;0.3;54627;35409
11;2021-02-23;105;315;0.2;0.5;54732;35724
11;2021-02-24;110;474;0.2;0.7;54842;36198
11;2021-02-25;184;363;0.3;0.5;55026;36561
11;2021-02-26;138;324;0.2;0.5;55164;36885
11;2021-02-27;54;124;0.1;0.2;55218;37009
11;2021-02-28;12;39;0.0;0.1;55230;37048
11;2021-03-01;91;157;0.1;0.2;55321;37205
11;2021-03-02;271;642;0.4;0.9;55592;37847
11;2021-03-03;275;899;0.4;1.3;55867;38746
11;2021-03-04;472;1442;0.7;2.1;56339;40188
11;2021-03-05;435;955;0.6;1.4;56774;41143
11;2021-03-06;612;137;0.9;0.2;57386;41280
11;2021-03-07;653;27;1.0;0.0;58039;41307
24;2020-12-28;14;0;0.0;0.0;14;0
24;2020-12-29;8;0;0.0;0.0;22;0
24;2021-01-04;19;0;0.1;0.0;41;0
24;2021-01-05;130;0;0.4;0.0;171;0
24;2021-01-06;174;0;0.6;0.0;345;0
24;2021-01-07;208;0;0.7;0.0;553;0
24;2021-01-08;415;0;1.4;0.0;968;0
24;2021-01-09;5;0;0.0;0.0;973;0
24;2021-01-10;11;0;0.0;0.0;984;0
24;2021-01-11;301;0;1.0;0.0;1285;0
24;2021-01-12;974;0;3.2;0.0;2259;0
24;2021-01-13;523;0;1.7;0.0;2782;0
24;2021-01-14;616;0;2.1;0.0;3398;0
24;2021-01-15;205;0;0.7;0.0;3603;0
24;2021-01-16;7;8;0.0;0.0;3610;8
24;2021-01-17;4;1;0.0;0.0;3614;9
24;2021-01-18;501;6;1.7;0.0;4115;15
24;2021-01-19;2326;13;7.7;0.0;6441;28
24;2021-01-20;2779;0;9.3;0.0;9220;28
24;2021-01-21;2944;0;9.8;0.0;12164;28
24;2021-01-22;1072;0;3.6;0.0;13236;28
24;2021-01-23;44;0;0.1;0.0;13280;28
24;2021-01-24;23;0;0.1;0.0;13303;28
24;2021-01-25;282;0;0.9;0.0;13585;28
24;2021-01-26;1232;39;4.1;0.1;14817;67
24;2021-01-27;1490;125;5.0;0.4;16307;192
24;2021-01-28;1669;245;5.6;0.8;17976;437
24;2021-01-29;527;296;1.8;1.0;18503;733
24;2021-01-30;53;0;0.2;0.0;18556;733
24;2021-01-31;31;2;0.1;0.0;18587;735
24;2021-02-01;105;167;0.3;0.6;18692;902
24;2021-02-02;151;827;0.5;2.8;18843;1729
24;2021-02-03;144;506;0.5;1.7;18987;2235
24;2021-02-04;199;451;0.7;1.5;19186;2686
24;2021-02-05;116;175;0.4;0.6;19302;2861
24;2021-02-06;21;1;0.1;0.0;19323;2862
24;2021-02-07;8;0;0.0;0.0;19331;2862
24;2021-02-08;112;425;0.4;1.4;19443;3287
24;2021-02-09;321;2028;1.1;6.8;19764;5315
24;2021-02-10;627;2133;2.1;7.1;20391;7448
24;2021-02-11;816;2936;2.7;9.8;21207;10384
24;2021-02-12;445;1153;1.5;3.8;21652;11537
24;2021-02-13;46;64;0.2;0.2;21698;11601
24;2021-02-14;22;9;0.1;0.0;21720;11610
24;2021-02-15;117;254;0.4;0.8;21837;11864
24;2021-02-16;207;1055;0.7;3.5;22044;12919
24;2021-02-17;324;1401;1.1;4.7;22368;14320
24;2021-02-18;389;1530;1.3;5.1;22757;15850
24;2021-02-19;266;537;0.9;1.8;23023;16387
24;2021-02-20;55;64;0.2;0.2;23078;16451
24;2021-02-21;19;4;0.1;0.0;23097;16455
24;2021-02-22;33;53;0.1;0.2;23130;16508
24;2021-02-23;48;166;0.2;0.6;23178;16674
24;2021-02-24;124;136;0.4;0.5;23302;16810
24;2021-02-25;124;95;0.4;0.3;23426;16905
24;2021-02-26;100;71;0.3;0.2;23526;16976
24;2021-02-27;11;14;0.0;0.0;23537;16990
24;2021-02-28;0;3;0.0;0.0;23537;16993
24;2021-03-01;75;31;0.2;0.1;23612;17024
24;2021-03-02;125;241;0.4;0.8;23737;17265
24;2021-03-03;131;459;0.4;1.5;23868;17724
24;2021-03-04;206;800;0.7;2.7;24074;18524
24;2021-03-05;62;315;0.2;1.0;24136;18839
24;2021-03-06;80;32;0.3;0.1;24216;18871
24;2021-03-07;7;7;0.0;0.0;24223;18878
27;2020-12-27;3;0;0.0;0.0;3;0
27;2020-12-29;19;0;0.1;0.0;22;0
27;2020-12-30;20;0;0.1;0.0;42;0
27;2021-01-04;7;0;0.0;0.0;49;0
27;2021-01-05;2;0;0.0;0.0;51;0
27;2021-01-06;282;0;0.8;0.0;333;0
27;2021-01-07;546;0;1.6;0.0;879;0
27;2021-01-08;323;0;1.0;0.0;1202;0
27;2021-01-09;1;0;0.0;0.0;1203;0
27;2021-01-10;1;0;0.0;0.0;1204;0
27;2021-01-11;505;0;1.5;0.0;1709;0
27;2021-01-12;1638;0;4.8;0.0;3347;0
27;2021-01-13;1263;0;3.7;0.0;4610;0
27;2021-01-14;1358;0;4.0;0.0;5968;0
27;2021-01-15;543;1;1.6;0.0;6511;1
27;2021-01-16;18;7;0.1;0.0;6529;8
27;2021-01-17;12;0;0.0;0.0;6541;8
27;2021-01-18;615;1;1.8;0.0;7156;9
27;2021-01-19;1570;23;4.6;0.1;8726;32
27;2021-01-20;1577;19;4.7;0.1;10303;51
27;2021-01-21;2370;1;7.0;0.0;12673;52
