reg;jour;res_vac_tot_dose1;res_vac_tot_dose2;res_couv_tot_dose1;res_couv_tot_dose2
01;2021-03-14;347;236;24.4;16.6
02;2021-03-14;361;249;20.8;14.3
03;2021-03-14;148;131;66.7;59.0
04;2021-03-14;1090;922;71.2;60.3
07;2021-03-14;4;5;;
11;2021-03-14;61654;46073;90.9;67.9
24;2021-03-14;25492;20441;84.9;68.1
27;2021-03-14;26698;20148;78.8;59.4
28;2021-03-14;33603;27234;96.6;78.3
32;2021-03-14;42000;30307;85.5;61.7
44;2021-03-14;47288;35788;88.5;67.0
52;2021-03-14;45320;36949;95.4;77.8
53;2021-03-14;41396;33103;98.7;78.9
75;2021-03-14;67496;51960;92.7;71.4
76;2021-03-14;56408;43980;91.0;71.0
84;2021-03-14;64962;44974;81.9;56.7
93;2021-03-14;40007;29286;85.0;62.2
94;2021-03-14;2314;1566;100.0;75.9
