dep;jour;n_tot_dose1;n_tot_dose2;pop;couv_tot_dose1;couv_tot_dose2
00;2021-03-14;2;2;;;
01;2021-03-14;36262;15542;656955.0;5.5;2.4
02;2021-03-14;39909;15468;526050.0;7.6;2.9
03;2021-03-14;38607;20713;331315.0;11.7;6.3
04;2021-03-14;15947;9309;165197.0;9.7;5.6
05;2021-03-14;12623;5649;141756.0;8.9;4.0
06;2021-03-14;112719;36930;1079396.0;10.4;3.4
07;2021-03-14;29237;11280;326875.0;8.9;3.5
08;2021-03-14;23610;10842;265531.0;8.9;4.1
09;2021-03-14;13300;6667;152398.0;8.7;4.4
10;2021-03-14;25917;12723;309907.0;8.4;4.1
11;2021-03-14;28225;13012;372705.0;7.6;3.5
12;2021-03-14;26665;16662;278360.0;9.6;6.0
13;2021-03-14;153747;71272;2034469.0;7.6;3.5
14;2021-03-14;63705;29408;691453.0;9.2;4.3
15;2021-03-14;14762;9260;142811.0;10.3;6.5
16;2021-03-14;31197;18301;348180.0;9.0;5.3
17;2021-03-14;65234;32873;647080.0;10.1;5.1
18;2021-03-14;27761;13908;296404.0;9.4;4.7
19;2021-03-14;26689;11228;240336.0;11.1;4.7
21;2021-03-14;47733;24439;532886.0;9.0;4.6
22;2021-03-14;58448;26855;596186.0;9.8;4.5
23;2021-03-14;12981;7006;116270.0;11.2;6.0
24;2021-03-14;33896;15625;408393.0;8.3;3.8
25;2021-03-14;40482;24228;539449.0;7.5;4.5
26;2021-03-14;44208;19666;520560.0;8.5;3.8
27;2021-03-14;41801;16381;600687.0;7.0;2.7
28;2021-03-14;33300;14953;429425.0;7.8;3.5
29;2021-03-14;82121;33778;906554.0;9.1;3.7
2A;2021-03-14;18979;7606;162421.0;11.7;4.7
2B;2021-03-14;17688;8770;182258.0;9.7;4.8
30;2021-03-14;64455;26072;748468.0;8.6;3.5
31;2021-03-14;90992;45430;1400935.0;6.5;3.2
32;2021-03-14;19660;10371;190040.0;10.3;5.5
33;2021-03-14;124773;55183;1633440.0;7.6;3.4
34;2021-03-14;94431;42593;1176145.0;8.0;3.6
35;2021-03-14;82310;33970;1082073.0;7.6;3.1
36;2021-03-14;23070;13693;217139.0;10.6;6.3
37;2021-03-14;46784;20186;605380.0;7.7;3.3
38;2021-03-14;100624;32185;1264979.0;8.0;2.5
39;2021-03-14;27469;17902;257849.0;10.7;6.9
40;2021-03-14;37141;19099;411979.0;9.0;4.6
41;2021-03-14;27818;13095;327835.0;8.5;4.0
42;2021-03-14;61398;25709;764737.0;8.0;3.4
43;2021-03-14;21948;12905;226901.0;9.7;5.7
